video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption,durationSecs,tagCount
TwVtoa6Zhec,The New York Times,The War’s Toll on Sick Ukrainian Children,"Sonya, a young Ukrainian girl, was being treated for eye cancer. Then Russia invaded Ukraine.
Lynsey Addario, a photographer on assignment for The New York Times who has covered every major war and humanitarian crisis of her generation, tells Sonya’s story.

By Lynsey Addario, Rebecca Suner, Nikolay Nikolov and James Surdam

Read the story here: https://nyti.ms/4eXymxT
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['news', 'eye cancer', 'sonya liakh', 'ukraine', 'kyiv', ""okhmatdyt children's hospital"", 'poland', 'russia', 'chemotherapy', 'tumor', 'pain management', 'disabilities', 'war victims', 'lynsey addario', 'russia war', 'ukraine russia war', 'new york times', 'nyt', 'nytimes video', 'nyt video', 'war news']",2024-11-15 14:30:23,1396.0,88.0,0.0,22.0,PT3M20S,hd,false,200.0,21
mxuOy0S9-yo,The New York Times,Is a ‘Green’ Revolution Poisoning India’s Capital?,"An effort to turn India’s trash mountains into energy has become an acute health crisis for a million people in the capital city, New Delhi. Maria Abi-Habib, an investigative correspondent for The New York Times, explains.

By Maria Abi-Habib, Alexandra Ostasiewicz and James Surdam

Read the story here: https://nyti.ms/3YZMd14
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['green revolution', 'india', 'trash incineration', 'trash incineration power plant', 'new delhi', 'delhi', 'okhla', 'toxic ash', 'air pollution', 'jindal family', 'jindal', 'black phlegm', 'boils', 'coughing fits', 'boils on hands', 'miscarriages', 'soot', 'soot testing', 'cadmium', 'playground', 'dioxins', 'modi', 'news', 'new york times', 'nyt', 'nytimes video', 'nyt video', 'maria abi-habib', 'investigation', 'nyt investigation', 'new york times investigation', 'nytimes investigation']",2024-11-13 18:00:29,16166.0,903.0,0.0,145.0,PT3M31S,hd,false,211.0,32
_tO9ZPTDk5o,The New York Times,What Trump’s Win Tells Us About the Democratic Party,"What lessons can Democrats take from the 2024 election? Astead W. Herndon, a national politics reporter and the host of the politics podcast “The Run-Up,” gives his analysis.

Listen to “The Run-Up”: http://bit.ly/4ftuapV
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['republican party', 'us election', 'swing states', 'kamala harris', 'democrats', 'democratic party', 'joe biden', 'donald trump', 'astead herndon', 'astead w. herndon', 'run-up', 'run-up podcast', 'usa', 'the run-up', 'biden', 'democracy', 'news', 'us news', 'us', 'new york times', 'nyt', 'nyt video', 'nytimes video', 'nytimes', 'analysis']",2024-11-12 18:00:32,42385.0,1014.0,0.0,336.0,PT3M36S,sd,false,216.0,25
5mqc5fJvjLo,The New York Times,Watch Mikey Madison Tour a Mansion in ‘Anora’ | Anatomy of a Scene,"When Ani (Mikey Madison) agrees to meet one of her young strip-club clients, Ivan (Mark Eydelshteyn), at his home, she is taken aback by just how lavish that home is. That’s the setup for this scene from “Anora,” which follows the budding relationship, both transactional and emotional, between the title character, Ani, and Ivan.

This sequence takes place before Ani learns that Ivan is the son of a Russian oligarch, and it is crafted to give both Ani and the audience an eye-opening look at the outsize abundance of Ivan’s space.

Narrating the scene, the film’s writer, director and editor, Sean Baker, said, “I wanted the camera to essentially be following Ani, but also be seeing the world through Ani’s eyes.” He achieved this by keeping the cuts to a minimum. After Ani rings the doorbell and Ivan answers, the bulk of the sequence unfolds in one shot, following her with a hand-held camera (operated by the cinematographer Drew Daniels) as she marvels over the mansion.

“It really sets up the geography,” Baker said, “because the geography is going to be extremely important later on in the film.”

Read the ""Anora"" review here: nyti.ms/4fofE2U
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['movies', 'anora', 'mikey madison', 'sean baker', 'anatomy of a scene', 'the new york times', 'new york times video', 'nytvideo', 'scooptag:100000009814094']",2024-11-08 18:00:07,18223.0,364.0,0.0,28.0,PT2M35S,hd,true,155.0,9
bjxZzNkfjCA,The New York Times,Why Trump Won | NYT Opinion,"Opinion columnists break down how Trump won the 2024 presidential election. 

Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.",,2024-11-08 01:30:25,57023.0,812.0,0.0,589.0,PT2M42S,hd,false,162.0,0
u7DTOroteC8,The New York Times,What Kamala Harris’s Loss Means To Black Women,"Vice President Kamala Harris ran a 107-day campaign under extraordinarily rare circumstances after President Biden dropped out of the race. But burdened by the legacy of her incumbency and the history of a nation that has been reluctant to elect a woman of color, Harris lost ground among most major groups of voters. Erica L. Green, a New York Times White House correspondent, explains what her emotional and defiant concession speech means to Black women in the country.

Video by Erica L. Green, Claire Hogan, Christina Shaman, Nikolay Nikolov and James Surdam

Read the story here: https://nyti.ms/3Cud1h2
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['vice president kamala harris', 'latest news', 'black women', 'african american women', 'harris concession speech', 'harris concedes', 'harris concession speech 2024', 'erica green', 'erica l green', 'south asian women', 'joe biden', 'shirley chisolm', 'fight takes a while', 'us election', 'us news', 'kamala harris vs donald trump', 'donald trump', 'trump', 'trump wins', 'felony', 'convicted felon', 'news', '2024 election', 'trump news', 'new york times', 'nyt', 'harris vs trump', 'nyt video', 'nytimes video', 'analysis']",2024-11-07 16:01:01,19605.0,843.0,0.0,676.0,PT3M15S,hd,false,195.0,30
BAFpk04FtV8,The New York Times,Donald Trump Makes Stunning Return to Power,"In the presidential campaign, Donald Trump played on economic worries and fears around immigration to defeat Vice President Kamala Harris. Shane Goldmacher, a national political correspondent for The New York Times, explains. 

Video by Shane Goldmacher, Alexandra Ostasiewicz, Nikolay Nikolov, James Surdam and Rebecca Suner

Read the story here: https://nyti.ms/4fAtyOK
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['us election', 'us news', 'republicans', 'kamala harris vs donald trump', 'kamala harris vs trump', 'donald trump', 'trump', 'trump wins', 'felony', 'convicted felon', 'news', 'election', 'kamala harris', 'shane goldmacher', '2024 election', 'latest news', 'trump campaign', 'trump news', 'us', 'new york times', 'nyt', 'harris vs trump', 'nyt video', 'nytimes video', 'analysis']",2024-11-06 18:30:07,13355.0,291.0,0.0,162.0,PT3M11S,hd,false,191.0,25
8K32ONRgVEc,The New York Times,How We Model Election Results with the Needle,"Our live election night forecast is known as “the Needle.” Nate Cohn, chief political analyst for The New York Times, explains how it works.

Video by Nate Cohn, Claire Hogan and James Surdam

Follow live election updates: https://nyti.ms/4fdoujO
Read the story about the Needle here: https://nyti.ms/3UF4rmd
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['needle', 'donald trump', 'kamala harris', 'harris walz campaign', 'trump vance campaign', 'nate cohn', 'the needle', 'nyt needle', 'new york times needle', 'election needle', '2024 results', '2024 live results', 'election results', '2024 election results', 'who won', 'who won the election', 'ballot counting', 'mail ballots', 'democracy', 'vote counting', 'mail-in ballots', 'donald trump news', 'kamala harris news', 'swing states', 'latest news', 'news', 'us news', 'us', 'new york times', 'nyt', 'nyt video', 'nytimes video', 'nytimes']",2024-11-05 21:30:01,11818.0,217.0,0.0,33.0,PT4M15S,hd,false,255.0,33
rSoBP_FJZZ0,The New York Times,The County That Got Every President Right (Since 1980),"One county in Washington State has picked the winner in every presidential election since 1980. Astead W. Herndon, a national politics reporter and the host of the politics podcast “The Run-Up,” visited the county last year. Now, he returns in the last days before Election Day to see if voters’ views have changed.

Video by Astead W. Herndon, Rebecca Suner, Gabriel Blanco and Caitlin O’Keefe

Read the story and listen to the podcast here: https://nyti.ms/4enfSFP
Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['donald trump', 'kamala harris', 'usa', 'the run-up', 'clallum county', 'washington state', 'port angeles', 'jd vance', 'lgbtq', 'womens rights', 'immigration', 'biden', 'democracy', 'q&a', 'donald trump news', 'kamala harris news', 'latest news', 'news', 'us news', 'us', 'new york times', 'nyt', 'nyt video', 'nytimes video', 'nytimes', 'astead herndon']",2024-11-05 17:00:57,16930.0,378.0,0.0,139.0,PT3M44S,hd,false,224.0,26
eS46Jt3JGyE,The New York Times,Three Questions About Election Results,"Why might election results take so long? And how can a candidate lose an early lead? Nick Corasaniti, a New York Times reporter covering voting, has some answers.

Video by Nick Corasaniti, Farah Otero-Amad, Laura Salaberry and Rebecca Suner

Subscribe: http://bit.ly/U8Ys7n
More from The New York Times Video: http://nytimes.com/video
----------
Whether it's reporting on conflicts abroad and political divisions at home, or covering the latest style trends and scientific developments, New York Times video journalists provide a revealing and unforgettable view of the world. It's all the news that's fit to watch.","['donald trump', 'election results', '2024 election results', 'kamala harris', 'who won', 'who won the election', 'ballot counting', 'mail ballots', 'democracy', 'vote counting', 'mail-in ballots', 'fraud', 'voter fraud', 'questions and answers', 'q&a', 'q and a', 'nick corasaniti', 'donald trump news', 'kamala harris news', 'swing states', 'latest news', 'election threats', 'counting votes', 'election integrity', 'voting integrity', 'news', 'us news', 'us', 'new york times', 'nyt', 'nyt video', 'nytimes video', 'nytimes']",2024-11-04 16:00:38,36071.0,489.0,0.0,331.0,PT3M47S,hd,false,227.0,33
